"dataResourceUid","images","raw_recordedBy","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","associatedOccurrences","previousIdentifications","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimDepth","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLatitude","verbatimLongitude","verbatimLongitude","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimSRS","footprintSRS","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","verbatimBasisOfRecord","measurementDeterminedDate","videos","species","measurementRemarks","measurementValue","relationshipRemarks","identifierRole","relationshipOfResource","measurementMethod","provenance","sounds","recordID","rights","source","verbatimScientificName","verbatimContinent","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","images","dcterms:type"
"dr10574","","Walsh, N.G.","2011-03-29","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","","","PRESERVED_SPECIMEN","","","","","HO59040","685","Walsh, N.G.","","","","","","","","","PRESENT","sheet","","","","","","","Uncommon and localised. First record for Victoria. Grid W7","","","ffb4d419-434d-4201-882e-3ce78ab6bbab|398cd702-e7a6-4492-8fdf-53d705877e92|e52e2aa3-7df8-44e4-82cc-912ea69dd9c2","","","","","","1981-02-25T13:00:00Z","","1981","2","26","26 Feb 1981","Recently burnt sites in dry Eucalyptus kybeanensis, E. glaucescens, E. stellulata, subalpine mallee woodland. Substrate of fine siltstone shale fragments. Full sun","","","","","","","","","","","","","Australia","AU","Victoria","","","Brumby Point, Nunniong Plateau","Brumby Point, Nunniong Plateau","1460.0","","1460","1460","","","","","","","-37.056944","148.061111","EPSG:4326","1000.0","2.78E-4","","-37.056944","","148.061111","","unknown","","AGM66","","","","","","","","","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","forsythii","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","b97f154e-ae83-4ab3-8d2e-7c3a8ef16634","","","Actinotus forsythii Maiden & Betche","","","","","","","","",""
"dr10574","","Walsh, N.G.","2011-08-29","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","","","PRESERVED_SPECIMEN","","","","","HO64088","879","Walsh, N.G.","","","","","","","","","PRESENT","sheet","","","","","","","Uncommon and localised","","","0201be67-8a90-4201-b2cd-21b45373f4bd","","","","","","1982-02-25T13:00:00Z","","1982","2","26","26 Feb 1982","Recently burnt sites within dry Eucalyptus kybeanensis, E. stellulata, E. glaucescens subalpine mallee woodland. Substrate of fine siltstone fragments","","","","","","","","","","","","","Australia","AU","Victoria","","","Brumby Point, Nunniong Plateau, East Gippsland. Eastern Ranges region","Brumby Point, Nunniong Plateau, East Gippsland. Eastern Ranges region","1460.0","","1460","1460","","","","","","","-37.056944","148.061111","EPSG:4326","1000.0","2.78E-4","","-37.056944","","148.061111","","unknown","","AGM66","","","","","","","","","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","forsythii","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","d021f020-ee44-4787-90d3-904ab8b0d1d1","","","Actinotus forsythii Maiden & Betche","","","","","","","","",""
"dr10574","","Hind, P.|Offord, C.|Marriot, K.","2011-08-26","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","","","PRESERVED_SPECIMEN","","","","","HO307118","6501","Offord, C.","","","","","","","","","PRESENT","sheet","","","","","","","Locally abundant","","","07e137f8-78f2-4d4b-9445-5073d18a3045|f7668073-eabf-4baf-9ac7-99ae7ffd748e","","","","","","1992-02-17T13:00:00Z","","1992","2","18","18 Feb 1992","Flattish area on ridge with rock platforms covered in heath of Leptospermum and Calytrix with Callitris in deeper soil pockets. Area burnt in Winter 1991. Sandy soil on sandstone","","","","","","","","","","","","","Australia","AU","New South Wales","","","No. 7 fire trail to Wolgan Pinnacle, 4.6km N of Sunnyside Road, Newnes Plateau. Newnes State Forest","No. 7 fire trail to Wolgan Pinnacle, 4.6km N of Sunnyside Road, Newnes Plateau. Newnes State Forest","930.0","","930","930","","","","","","","-33.281111","150.178611","EPSG:4326","1000.0","2.78E-4","","-33.281111","","150.178611","","unknown","","AGM66","","","","","","","","","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","forsythii","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","d1ff6347-d1fc-4950-a066-3026da0fc8aa","","","Actinotus forsythii Maiden & Betche","","","","","","","","",""
"dr1097","","Neville Walsh","","","CC-BY 4.0 (Int)","","","","","","","","","","","","HUMAN_OBSERVATION","","","","","1717879","","Walsh, Neville","","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","","","","268061","","","1981-12-31T13:00:00Z","","1982","1","1","","","Incidental","","","","","","268061","","","","","","Australia","AU","Victoria","","","I0097700Centre about 16 km NNW of BALD HILLS","","1460.0","1460.0","","","","","","","","","-37.0552799990924","148.0625","EPSG:4326","15.0","","","-37.05528","","148.0625","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","eceb9215-bcb0-441e-92e4-951e36622e95","","","Actinotus forsythii","","","","","","","","","Event"
"dr1097","","National Herbarium Victoria","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","","","","196418","","","1","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","7aa4767a-3031-491c-8465-687f4165c99d|6627cce0-5c63-46fc-a054-9e451dfa5ac5","","","197342","","","1982-02-25T13:00:00Z","","1982","2","26","","","","","","","","","197342","","","","","","Australia","AU","Victoria","","","611724ACentre about 16 km NNW of BALD HILLS","","1460.0","1460.0","","","","","","","","","-37.05539999909239","148.06237","EPSG:4326","1000.0","","","-37.0554","","148.06237","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","0aac6267-6c72-4a2d-ae2b-8a31ece0bebb","","","Actinotus forsythii","","","","","","","","","PhysicalObject"
"dr1097","","National Herbarium Victoria","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","","","","133255","","","1","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","3b0ea63a-0783-40c0-8d76-e8017eced163","","","133749","","","2004-02-04T13:00:00Z","","2004","2","5","","","","","","","","","133749","","","","","","Australia","AU","Victoria","","","2265062ACentre about 16 km NNW of BALD HILLS","","1437.0","1437.0","","","","","","","","","-37.058329999092365","148.06111","EPSG:4326","1000.0","","","-37.05833","","148.06111","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","96a2ab98-4309-4cd7-ae4b-6db608b5263f","","","Actinotus forsythii","","","","","","","","","PhysicalObject"
"dr1097","","National Herbarium Victoria","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","","","","137098","","","1","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","c2a9abd5-3188-4b37-b3f5-23f9cec78805","","","137771","","","2004-02-07T13:00:00Z","","2004","2","8","","","","","","","","","137771","","","","","","Australia","AU","Victoria","","","2281405ACentre about 16 km NNW of BALD HILLS","","1410.0","1410.0","","","","","","","","","-37.05693999909238","148.05889","EPSG:4326","1000.0","","","-37.05694","","148.05889","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","986a4dd4-76f6-4f53-a689-26cef7fb957d","","","Actinotus forsythii","","","","","","","","","PhysicalObject"
"dr1097","","National Herbarium Victoria","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","","","","201999","","","1","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","0aac6267-6c72-4a2d-ae2b-8a31ece0bebb","","","202927","","","1982-02-25T13:00:00Z","","1982","2","26","","","","","","","","","202927","","","","","","Australia","AU","Victoria","","","628529ACentre about 16 km NNW of BALD HILLS","","1460.0","1460.0","","","","","","","","","-37.05539999909239","148.06237","EPSG:4326","1000.0","","","-37.0554","","148.06237","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","6627cce0-5c63-46fc-a054-9e451dfa5ac5","","","Actinotus forsythii","","","","","","","","","PhysicalObject"
"dr1097","","","","","CC-BY 4.0 (Int)","","","","","","","","","","","","HUMAN_OBSERVATION","","","","","5778132","","","","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","","","","965860","","","2004-02-04T13:00:00Z","","2004","2","5","","","Monitoring","","","","","","637932","","","","","","Australia","AU","Victoria","","","Brumby Point Track 2Roughly 200 m southeast downslope of the vehicle track, at a point approximately 1.1 km west from wh","","1428.0","1428.0","","","","","","","","","-37.057349999092374","148.06819999999996","EPSG:4326","50.0","","","-37.05735","","148.0682","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","8354d7be-cd89-443c-9498-276da6ef78f8","","","Actinotus forsythii","","","","","","","","","Event"
"dr1097","","National Herbarium Victoria","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","","","","196417","","","1","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","0aac6267-6c72-4a2d-ae2b-8a31ece0bebb","","","197341","","","1982-02-25T13:00:00Z","","1982","2","26","","","","","","","","","197341","","","","","","Australia","AU","Victoria","","","611723ACentre about 16 km NNW of BALD HILLS","","1460.0","1460.0","","","","","","","","","-37.05539999909239","148.06237","EPSG:4326","1000.0","","","-37.0554","","148.06237","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","PreservedSpecimen","","","Actinotus forsythii","","","","","","","","","7aa4767a-3031-491c-8465-687f4165c99d","","","Actinotus forsythii","","","","","","","","","PhysicalObject"
