gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3350096315	d8cd16ba-bb74-4420-821e-083f2bac17c2	JF769144	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa		AU	Western Australia, DA, Augusta		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-34.279999	115.120003							1983-10-27T00:00:00	27	10	1983	4105554	4105554	PRESERVED_SPECIMEN			iJ22				CC_BY_4_0		Corrick, M.G.			2021-09-23T14:11:26.291Z		GEODETIC_DATUM_ASSUMED_WGS84
3350078018	d8cd16ba-bb74-4420-821e-083f2bac17c2	JF698260	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													4105554	4105554	PRESERVED_SPECIMEN			Peterson 14514, Soreng & Rosenberg (US)				CC_BY_4_0					2021-09-23T14:11:26.224Z		
3346400091	d8cd16ba-bb74-4420-821e-083f2bac17c2	EU489100	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													4105554	4105554	PRESERVED_SPECIMEN			Peterson, Soreng & Rosenberg 14514 US				CC_BY_4_0					2021-09-23T14:11:12.149Z		
2854425215	5a3b50fa-c882-4129-9405-38e54c0a73f3	fdd01e43-acac-4a6f-a048-7f4475d74733	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	Bridle Trail near Mountain Quarry, Coulston Road, Boya	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.916667	116.133333	10000.0						2004-11-02T00:00:00	2	11	2004	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 7622813	522	A.R. Williams	2010-10-22T00:00:00	CC_BY_4_0		Bell, U.			2021-10-16T13:05:25.756Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854423741	5a3b50fa-c882-4129-9405-38e54c0a73f3	f06b718f-8e51-484c-9d89-e8fa0742402a	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	Bodhinyana Monastery, 216 Kingsbury Drive, Serpentine	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-32.422584	116.01589	100.0						2002-11-02T00:00:00	2	11	2002	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 6745261	336	A.R. Williams	2004-07-02T00:00:00	CC_BY_4_0		Nyanatusita, B.			2021-10-16T13:05:26.022Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854403177	5a3b50fa-c882-4129-9405-38e54c0a73f3	e940e729-19af-441a-98be-fbe131c9f972	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	SWATT Sandplain Survey, Mt Roe National Park, survey site SWA0103D, ca. 43.11 km W (275.06 degrees) of Mt Barker and ca. 19.11 km ESE (119.12 degrees) of Rocky Gully	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-34.592757	117.193944	100.0						2013-11-02T00:00:00	2	11	2013	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 8916268	5084	A.R. Williams	2019-02-18T00:00:00	CC_BY_4_0		Meissner, R.|Mccormack, C.|Langley, M.			2021-10-16T13:05:22.601Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854399853	5a3b50fa-c882-4129-9405-38e54c0a73f3	f6c1ac47-1e0d-4a1f-9513-d1a9f751dbbf	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	Falls Road Park South near waterfall, Hovea	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.916667	116.166667	10000.0						2000-11-14T00:00:00	14	11	2000	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 6167675	343	A.R. Williams	2002-10-04T00:00:00	CC_BY_4_0		Bell, U.			2021-10-16T13:05:24.753Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854398028	5a3b50fa-c882-4129-9405-38e54c0a73f3	d1c89a2f-b394-42f0-b4d6-543cac8abea5	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	Ring Road, Bunbury	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-33.323056	115.638333	3000.0						1983-09-18T00:00:00	18	9	1983	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 565539	6435	A.R. Williams	2001-05-28T00:00:00	CC_BY_4_0		Keighery, G.J.			2021-10-16T13:05:27.049Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854395983	5a3b50fa-c882-4129-9405-38e54c0a73f3	d8a12709-549d-4285-87c9-7623b303af2e	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	From Site E2. W side Lot 1 Elliott Road, Shire of Serpentine - Jarrahdale (Keysbrook)	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-32.451111	115.876389	3000.0						1999-11-10T00:00:00	10	11	1999	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 6633234	MET 20719			CC_BY_4_0		Archer, R.|Wood, M.			2021-10-16T13:05:25.449Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854392185	5a3b50fa-c882-4129-9405-38e54c0a73f3	f2bdf506-548d-45c9-9170-5f4e0b9616e0	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa compressa		SPECIES	Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett	Austrostipa compressa	(R.Br.) S.W.L.Jacobs & J.Everett	AU	Bindoon Road, 2 km NE of Bullsbrook East	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.653889	116.04	3000.0						1977-10-25T00:00:00	25	10	1977	4105554	4105554	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 565520	-	A.R. Williams	2001-05-28T00:00:00	CC_BY_4_0		Willis, J.H.			2021-10-16T13:05:24.668Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
