gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3107441332	5a3b50fa-c882-4129-9405-38e54c0a73f3	1c4f2a55-0dc5-4c20-83e4-133cf9df07a0	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	4 mi. N of Medina along coastal dunes	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.940469	115.776009	10000.0						1967-08-30T00:00:00	30	8	1967	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 9295208	2860		2018-10-12T00:00:00	CC_BY_4_0		Carlquist, S.			2021-10-16T13:04:54.705Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854438306	5a3b50fa-c882-4129-9405-38e54c0a73f3	f918e8a1-59f0-4d0e-8c9e-aa8b9ff21b2d	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	Yanchep National Park: Between N end of Loch and main road (2)	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.521667	115.683333	3000.0						1963-10-17T00:00:00	17	10	1963	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 3295885	56			CC_BY_4_0		James, A.M.			2021-10-16T13:05:29.671Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854416701	5a3b50fa-c882-4129-9405-38e54c0a73f3	f2cf24b0-c174-4e84-93bd-c058013545fa	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	E of Walkaway	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-28.933333	114.799722	3000.0						1952-11-14T00:00:00	14	11	1952	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 3295958				CC_BY_4_0		Throssell, G.L.			2021-10-16T13:05:22.814Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854415308	5a3b50fa-c882-4129-9405-38e54c0a73f3	e3efba6a-03a0-44d6-a946-479e7a61e759	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	5 km SSW of Ironstone Knoll	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-30.2221	115.443678	100.0						1996-06-21T00:00:00	21	6	1996	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 4473671	RD 1419			CC_BY_4_0		Davis, R.			2021-10-16T13:05:26.039Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854405795	5a3b50fa-c882-4129-9405-38e54c0a73f3	dddb4897-21e3-4f17-bc8d-3f00925c53b6	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	Halfway between Geraldton and Mullewa	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-28.655	115.063889	3000.0						1962-09-09T00:00:00	9	9	1962	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 3295664	141			CC_BY_4_0					2021-10-16T13:05:25.589Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854402014	5a3b50fa-c882-4129-9405-38e54c0a73f3	db7bd0e6-614f-417e-b865-50b0d7d37e4a	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	E side of Brand Highway, 19 km S of Eneabba, Eneabba is 272 km N of Perth, Irwin Botanical District	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-29.966667	115.283333							1993-10-08T00:00:00	8	10	1993	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 4336208	2287			CC_BY_4_0		Jobson, P.C.			2021-10-16T13:05:25.761Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854397888	5a3b50fa-c882-4129-9405-38e54c0a73f3	d0f1bbe0-b9cb-4a5d-8555-d9d293b6d7fb	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	Beside gas pipeline, near railway crossing, Erindoon Road	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79									1982-10-02T00:00:00	2	10	1982	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 3296180	143			CC_BY_4_0		Coleby-Williams, J.			2021-10-16T13:05:27.021Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854394935	5a3b50fa-c882-4129-9405-38e54c0a73f3	c1c7aa5d-1b69-44bb-a0c7-a8d208cf64d4	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	15.5 km W along Port Gregory Road from North West Coastal Highway, Northampton	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-28.298562	114.511874	100.0						2001-08-14T00:00:00	14	8	2001	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 5874351	9886			CC_BY_4_0		Davis, R.			2021-10-16T13:05:24.600Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854389738	5a3b50fa-c882-4129-9405-38e54c0a73f3	c952f8b6-05ec-4576-9d00-4ae281d3383d	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	8 km E Jurien Bay on road to Brand Highway	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-30.244722	115.079444	3000.0						1972-09-24T00:00:00	24	9	1972	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 3295796				CC_BY_4_0		Stone, G.|Keighery, G.J.			2021-10-16T13:05:26.788Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2854381386	5a3b50fa-c882-4129-9405-38e54c0a73f3	c0480c30-63b9-4a94-9321-60f610048882	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Gyrostemonaceae	Tersonia	Tersonia cyathiflora		SPECIES	Tersonia cyathiflora (Fenzl) A.S.George ex J.W.Green	Tersonia cyathiflora	(Fenzl) A.S.George ex J.W.Green	AU	Mount Claremont, Bold Park, S of Rochdale Road and E of McClemans Street	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-31.959194	115.770944	100.0						2012-09-01T00:00:00	1	9	2012	3718339	3718339	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 8811768	4621			CC_BY_4_0		Thiele, K.R.			2021-10-16T13:05:26.437Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
